season,team,wins,losses,pace,off_rating,def_rating,team_season_key,win_pct
1997,WSB,44.0,38.0,92.4,106.6,104.9,WSB_1997,0.537
1998,ATL,50.0,32.0,87.7,108.2,104.3,ATL_1998,0.61
1998,BOS,36.0,46.0,93.3,102.5,105.3,BOS_1998,0.439
1998,CHH,51.0,31.0,89.4,107.5,105.3,CHH_1998,0.622
1998,CHI,62.0,20.0,89.0,107.7,99.8,CHI_1998,0.756
1998,CLE,47.0,35.0,89.9,102.1,99.1,CLE_1998,0.573
1998,DAL,20.0,62.0,89.9,100.5,107.2,DAL_1998,0.244
1998,DEN,11.0,71.0,89.7,99.0,112.1,DEN_1998,0.134
1998,DET,37.0,45.0,88.2,105.3,103.5,DET_1998,0.451
1998,GSW,19.0,63.0,91.4,95.8,105.7,GSW_1998,0.232
1998,HOU,41.0,41.0,91.0,107.7,108.6,HOU_1998,0.5
1998,IND,58.0,24.0,87.9,108.4,101.5,IND_1998,0.707
1998,LAC,17.0,65.0,92.4,103.3,111.2,LAC_1998,0.207
1998,LAL,61.0,21.0,93.6,111.9,103.7,LAL_1998,0.744
1998,MIA,55.0,27.0,87.9,107.6,102.0,MIA_1998,0.671
1998,MIL,36.0,46.0,90.2,103.5,105.6,MIL_1998,0.439
1998,MIN,45.0,37.0,92.6,107.8,107.1,MIN_1998,0.549
1998,NJN,43.0,39.0,91.0,108.3,106.6,NJN_1998,0.524
1998,NYK,43.0,39.0,88.2,103.0,100.3,NYK_1998,0.524
1998,ORL,41.0,41.0,87.1,102.6,103.8,ORL_1998,0.5
1998,PHI,31.0,51.0,90.5,102.8,105.4,PHI_1998,0.378
1998,PHO,56.0,26.0,91.4,107.4,101.8,PHO_1998,0.683
1998,POR,46.0,36.0,90.0,104.0,102.4,POR_1998,0.561
1998,SAC,27.0,55.0,92.1,100.8,106.9,SAC_1998,0.329
1998,SAS,56.0,26.0,88.4,103.8,99.4,SAS_1998,0.683
1998,SEA,61.0,21.0,89.8,111.6,103.6,SEA_1998,0.744
1998,TOR,16.0,66.0,92.6,101.2,111.0,TOR_1998,0.195
1998,UTA,62.0,20.0,89.2,112.7,105.4,UTA_1998,0.756
1998,VAN,19.0,63.0,92.1,104.1,112.0,VAN_1998,0.232
1998,WAS,42.0,40.0,91.8,105.2,104.5,WAS_1998,0.512
1999,ATL,31.0,19.0,85.3,100.5,97.1,ATL_1999,0.62
1999,BOS,19.0,31.0,91.5,100.4,102.4,BOS_1999,0.38
1999,CHH,26.0,24.0,89.7,102.3,102.4,CHH_1999,0.52
1999,CHI,13.0,37.0,88.1,92.4,103.0,CHI_1999,0.26
1999,CLE,22.0,28.0,86.4,99.6,101.6,CLE_1999,0.44
1999,DAL,19.0,31.0,89.0,102.3,104.9,DAL_1999,0.38
1999,DEN,14.0,36.0,90.5,103.1,110.4,DEN_1999,0.28
1999,DET,29.0,21.0,86.3,104.2,100.3,DET_1999,0.58
1999,GSW,21.0,29.0,88.9,98.4,101.1,GSW_1999,0.42
1999,HOU,31.0,19.0,88.8,105.4,102.9,HOU_1999,0.62
1999,IND,33.0,17.0,86.4,108.7,104.4,IND_1999,0.66
1999,LAC,9.0,41.0,89.5,100.0,109.7,LAC_1999,0.18
1999,LAL,31.0,19.0,91.6,107.6,104.3,LAL_1999,0.62
1999,MIA,33.0,17.0,84.8,104.7,98.9,MIA_1999,0.66
1999,MIL,28.0,22.0,87.0,104.9,103.0,MIL_1999,0.56
1999,MIN,25.0,25.0,91.0,101.9,101.5,MIN_1999,0.5
1999,NJN,16.0,34.0,91.5,99.5,103.6,NJN_1999,0.32
1999,NYK,27.0,23.0,86.9,98.6,97.5,NYK_1999,0.54
1999,ORL,33.0,17.0,88.8,100.3,97.4,ORL_1999,0.66
1999,PHI,28.0,22.0,88.6,99.9,97.6,PHI_1999,0.56
1999,PHO,27.0,23.0,90.0,105.8,103.3,PHO_1999,0.54
1999,POR,35.0,15.0,89.2,104.8,97.7,POR_1999,0.7
1999,SAC,27.0,23.0,96.0,102.7,103.1,SAC_1999,0.54
1999,SAS,37.0,13.0,88.6,104.0,95.0,SAS_1999,0.74
1999,SEA,25.0,25.0,89.6,105.0,106.2,SEA_1999,0.5
1999,TOR,23.0,27.0,88.8,102.0,103.9,TOR_1999,0.46
1999,UTA,37.0,13.0,87.0,105.8,98.4,UTA_1999,0.74
1999,VAN,8.0,42.0,89.0,98.4,107.9,VAN_1999,0.16
1999,WAS,18.0,32.0,89.8,101.2,103.7,WAS_1999,0.36
2000,ATL,28.0,54.0,91.7,102.0,107.9,ATL_2000,0.341
2000,BOS,35.0,47.0,94.6,104.8,105.6,BOS_2000,0.427
2000,CHH,49.0,33.0,93.9,104.3,101.4,CHH_2000,0.598
2000,CHI,17.0,65.0,89.4,94.2,104.6,CHI_2000,0.207
2000,CLE,32.0,50.0,95.7,100.4,104.0,CLE_2000,0.39
2000,DAL,40.0,42.0,94.9,106.6,107.2,DAL_2000,0.488
2000,DEN,35.0,47.0,94.7,103.5,105.8,DEN_2000,0.427
2000,DET,42.0,40.0,95.7,107.3,105.8,DET_2000,0.512
2000,GSW,19.0,63.0,95.4,99.8,108.4,GSW_2000,0.232
2000,HOU,34.0,48.0,94.2,104.8,105.7,HOU_2000,0.415
2000,IND,56.0,26.0,93.1,108.5,103.6,IND_2000,0.683
2000,LAC,15.0,67.0,93.9,97.8,110.1,LAC_2000,0.183
2000,LAL,67.0,15.0,93.3,107.3,98.2,LAL_2000,0.817
2000,MIA,52.0,30.0,89.7,104.5,101.0,MIA_2000,0.634
2000,MIL,42.0,40.0,92.7,108.2,107.9,MIL_2000,0.512
2000,MIN,50.0,32.0,91.8,106.1,103.4,MIN_2000,0.61
2000,NJN,31.0,51.0,92.5,105.1,106.3,NJN_2000,0.378
2000,NYK,50.0,32.0,89.2,102.5,100.9,NYK_2000,0.61
2000,ORL,41.0,41.0,97.3,102.4,101.7,ORL_2000,0.5
2000,PHI,49.0,33.0,92.7,101.5,100.0,PHI_2000,0.598
2000,PHO,53.0,29.0,94.0,104.6,99.0,PHO_2000,0.646
2000,POR,59.0,23.0,89.9,107.9,100.8,POR_2000,0.72
2000,SAC,44.0,38.0,99.3,105.0,102.1,SAC_2000,0.537
2000,SAS,53.0,29.0,90.8,105.0,98.6,SAS_2000,0.646
2000,SEA,45.0,37.0,93.4,105.6,104.6,SEA_2000,0.549
2000,TOR,45.0,37.0,92.5,104.7,104.9,TOR_2000,0.549
2000,UTA,55.0,27.0,89.6,107.3,102.3,UTA_2000,0.671
2000,VAN,22.0,60.0,91.0,102.3,108.5,VAN_2000,0.268
2000,WAS,29.0,53.0,92.7,103.5,107.0,WAS_2000,0.354
2001,ATL,25.0,57.0,91.9,98.7,104.3,ATL_2001,0.305
2001,BOS,36.0,46.0,92.6,101.4,103.7,BOS_2001,0.439
2001,CHH,46.0,36.0,89.4,101.8,99.5,CHH_2001,0.561
2001,CHI,15.0,67.0,89.3,97.2,107.3,CHI_2001,0.183
2001,CLE,30.0,52.0,91.2,100.3,104.9,CLE_2001,0.366
2001,DAL,53.0,29.0,93.2,107.1,102.6,DAL_2001,0.646
2001,DEN,40.0,42.0,92.6,103.7,106.3,DEN_2001,0.488
2001,DET,32.0,50.0,94.7,100.0,101.8,DET_2001,0.39
2001,GSW,17.0,65.0,94.1,97.8,107.4,GSW_2001,0.207
2001,HOU,45.0,37.0,90.4,106.7,104.2,HOU_2001,0.549
2001,IND,41.0,41.0,89.4,102.0,102.2,IND_2001,0.5
2001,LAC,31.0,51.0,89.6,101.3,104.5,LAC_2001,0.378
2001,LAL,56.0,26.0,91.7,108.4,104.8,LAL_2001,0.683
2001,MIA,50.0,32.0,87.1,101.1,98.5,MIA_2001,0.61
2001,MIL,52.0,30.0,92.1,108.8,104.6,MIL_2001,0.634
2001,MIN,47.0,35.0,91.8,105.2,103.7,MIN_2001,0.573
2001,NJN,26.0,56.0,91.8,100.0,105.5,NJN_2001,0.317
2001,NYK,48.0,34.0,86.7,101.2,98.2,NYK_2001,0.585
2001,ORL,43.0,39.0,93.2,103.2,102.1,ORL_2001,0.524
2001,PHI,56.0,26.0,90.6,103.6,98.9,PHI_2001,0.683
2001,PHO,51.0,31.0,93.1,100.3,98.0,PHO_2001,0.622
2001,POR,50.0,32.0,89.1,106.5,101.8,POR_2001,0.61
2001,SAC,55.0,27.0,94.4,105.6,99.6,SAC_2001,0.671
2001,SAS,58.0,24.0,89.6,106.6,98.0,SAS_2001,0.707
2001,SEA,44.0,38.0,91.6,105.6,105.6,SEA_2001,0.537
2001,TOR,47.0,35.0,90.9,105.9,103.4,TOR_2001,0.573
2001,UTA,53.0,29.0,89.8,107.6,102.4,UTA_2001,0.646
2001,VAN,23.0,59.0,91.7,99.6,105.8,VAN_2001,0.28
2001,WAS,19.0,63.0,92.7,100.6,107.8,WAS_2001,0.232
2002,ATL,33.0,49.0,91.9,101.8,106.4,ATL_2002,0.402
2002,BOS,49.0,33.0,92.5,103.4,101.0,BOS_2002,0.598
2002,CHH,44.0,38.0,89.7,104.3,103.3,CHH_2002,0.537
2002,CHI,21.0,61.0,90.5,98.2,107.6,CHI_2002,0.256
2002,CLE,29.0,53.0,90.3,104.6,108.2,CLE_2002,0.354
2002,DAL,57.0,25.0,92.8,112.2,107.7,DAL_2002,0.695
2002,DEN,27.0,55.0,90.4,101.4,107.8,DEN_2002,0.329
2002,DET,50.0,32.0,90.0,104.8,102.4,DET_2002,0.61
2002,GSW,21.0,61.0,94.5,102.8,108.5,GSW_2002,0.256
2002,HOU,28.0,54.0,88.2,103.1,108.6,HOU_2002,0.341
2002,IND,42.0,40.0,91.9,104.1,103.8,IND_2002,0.512
2002,LAC,39.0,43.0,90.1,105.5,106.0,LAC_2002,0.476
2002,LAL,58.0,24.0,92.1,109.4,101.7,LAL_2002,0.707
2002,MEM,23.0,59.0,91.1,98.2,106.3,MEM_2002,0.28
2002,MIA,36.0,46.0,87.4,98.5,100.2,MIA_2002,0.439
2002,MIL,41.0,41.0,90.2,106.9,107.1,MIL_2002,0.5
2002,MIN,50.0,32.0,90.5,109.0,105.3,MIN_2002,0.61
2002,NJN,52.0,30.0,91.8,104.0,99.5,NJN_2002,0.634
2002,NYK,30.0,52.0,89.7,101.5,105.9,NYK_2002,0.366
2002,ORL,44.0,38.0,93.2,107.0,105.3,ORL_2002,0.537
2002,PHI,43.0,39.0,88.9,102.1,100.3,PHI_2002,0.524
2002,PHO,36.0,46.0,91.4,103.3,104.0,PHO_2002,0.439
2002,POR,49.0,33.0,89.3,107.4,104.0,POR_2002,0.598
2002,SAC,61.0,21.0,95.6,109.0,101.1,SAC_2002,0.744
2002,SAS,58.0,24.0,90.0,106.5,99.7,SAS_2002,0.707
2002,SEA,45.0,37.0,89.0,108.9,105.6,SEA_2002,0.549
2002,TOR,42.0,40.0,88.8,102.6,103.1,TOR_2002,0.512
2002,UTA,44.0,38.0,90.3,105.6,104.6,UTA_2002,0.537
2002,WAS,37.0,45.0,88.3,104.8,106.4,WAS_2002,0.451
2003,ATL,35.0,47.0,91.0,102.3,106.1,ATL_2003,0.427
2003,BOS,44.0,38.0,90.9,101.2,101.6,BOS_2003,0.537
2003,CHI,30.0,52.0,93.5,100.2,105.6,CHI_2003,0.366
2003,CLE,17.0,65.0,94.0,96.5,106.7,CLE_2003,0.207
2003,DAL,60.0,22.0,92.5,110.7,102.3,DAL_2003,0.732
2003,DEN,17.0,65.0,91.0,92.2,101.3,DEN_2003,0.207
2003,DET,50.0,32.0,86.8,104.1,99.9,DET_2003,0.61
2003,GSW,38.0,44.0,94.2,108.3,109.5,GSW_2003,0.463
2003,HOU,43.0,39.0,88.8,104.3,102.6,HOU_2003,0.524
2003,IND,48.0,34.0,91.6,104.6,100.8,IND_2003,0.585
2003,LAC,27.0,55.0,91.3,102.3,106.8,LAC_2003,0.329
2003,LAL,50.0,32.0,92.5,107.2,104.7,LAL_2003,0.61
2003,MEM,28.0,54.0,92.7,103.9,107.3,MEM_2003,0.341
2003,MIA,25.0,57.0,87.8,96.7,102.4,MIA_2003,0.305
2003,MIL,42.0,40.0,90.4,108.8,108.6,MIL_2003,0.512
2003,MIN,51.0,31.0,91.9,106.1,103.8,MIN_2003,0.622
2003,NJN,49.0,33.0,91.6,103.8,98.1,NJN_2003,0.598
2003,NOH,47.0,35.0,89.4,103.9,101.6,NOH_2003,0.573
2003,NYK,37.0,45.0,90.7,104.7,106.2,NYK_2003,0.451
2003,ORL,42.0,40.0,93.1,105.2,105.0,ORL_2003,0.512
2003,PHI,48.0,34.0,91.4,105.0,102.5,PHI_2003,0.585
2003,PHO,44.0,38.0,91.5,103.7,102.5,PHO_2003,0.537
2003,POR,50.0,32.0,89.4,105.5,102.6,POR_2003,0.61
2003,SAC,59.0,23.0,95.4,105.9,99.1,SAC_2003,0.72
2003,SAS,60.0,22.0,90.0,105.6,99.7,SAS_2003,0.732
2003,SEA,40.0,42.0,88.0,103.7,103.9,SEA_2003,0.488
2003,TOR,24.0,58.0,89.9,100.5,107.0,TOR_2003,0.293
2003,UTA,47.0,35.0,89.3,105.5,102.8,UTA_2003,0.573
2003,WAS,37.0,45.0,88.2,103.0,104.1,WAS_2003,0.451
2004,ATL,28.0,54.0,90.8,101.0,106.1,ATL_2004,0.341
2004,BOS,36.0,46.0,93.2,102.1,103.7,BOS_2004,0.439
2004,CHI,23.0,59.0,92.2,96.6,103.4,CHI_2004,0.28
2004,CLE,35.0,47.0,90.8,101.4,104.2,CLE_2004,0.427
2004,DAL,52.0,30.0,93.2,112.1,107.4,DAL_2004,0.634
2004,DEN,43.0,39.0,93.3,103.9,102.7,DEN_2004,0.524
2004,DET,54.0,28.0,87.9,102.0,95.4,DET_2004,0.659
2004,GSW,37.0,45.0,89.8,103.0,103.8,GSW_2004,0.451
2004,HOU,45.0,37.0,87.8,100.9,99.0,HOU_2004,0.549
2004,IND,61.0,21.0,87.5,103.8,97.2,IND_2004,0.744
2004,LAC,28.0,54.0,91.0,103.5,108.5,LAC_2004,0.341
2004,LAL,56.0,26.0,92.3,105.5,101.3,LAL_2004,0.683
2004,MEM,50.0,32.0,91.4,104.8,102.2,MEM_2004,0.61
2004,MIA,42.0,40.0,88.0,102.2,101.7,MIA_2004,0.512
2004,MIL,41.0,41.0,91.6,106.5,105.4,MIL_2004,0.5
2004,MIN,58.0,24.0,89.0,105.9,99.7,MIN_2004,0.707
2004,NJN,47.0,35.0,89.4,100.8,98.0,NJN_2004,0.573
2004,NOH,41.0,41.0,89.1,102.3,102.4,NOH_2004,0.5
2004,NYK,39.0,43.0,89.5,101.7,103.3,NYK_2004,0.476
2004,ORL,21.0,61.0,90.8,102.7,110.4,ORL_2004,0.256
2004,PHI,33.0,49.0,88.0,99.1,101.9,PHI_2004,0.402
2004,PHO,29.0,53.0,92.6,101.4,105.5,PHO_2004,0.354
2004,POR,41.0,41.0,86.2,103.7,105.1,POR_2004,0.5
2004,SAC,55.0,27.0,92.8,110.3,104.9,SAC_2004,0.671
2004,SAS,57.0,25.0,89.2,102.2,94.1,SAS_2004,0.695
2004,SEA,37.0,45.0,89.9,107.3,108.0,SEA_2004,0.451
2004,TOR,33.0,49.0,86.8,97.0,100.4,TOR_2004,0.402
2004,UTA,42.0,40.0,86.6,101.9,103.3,UTA_2004,0.512
2004,WAS,25.0,57.0,92.2,98.8,104.8,WAS_2004,0.305
2005,ATL,13.0,69.0,91.4,100.6,111.1,ATL_2005,0.159
2005,BOS,45.0,37.0,93.3,107.5,106.6,BOS_2005,0.549
2005,CHA,18.0,64.0,92.3,101.1,107.5,CHA_2005,0.22
2005,CHI,47.0,35.0,92.4,101.4,100.3,CHI_2005,0.573
2005,CLE,42.0,40.0,89.7,106.6,105.7,CLE_2005,0.512
2005,DAL,58.0,24.0,92.7,110.3,104.1,DAL_2005,0.707
2005,DEN,49.0,33.0,93.5,106.0,103.9,DEN_2005,0.598
2005,DET,54.0,28.0,87.2,105.6,101.2,DET_2005,0.659
2005,GSW,34.0,48.0,93.3,104.7,106.9,GSW_2005,0.415
2005,HOU,51.0,31.0,88.8,106.2,101.7,HOU_2005,0.622
2005,IND,44.0,38.0,87.2,105.5,104.6,IND_2005,0.537
2005,LAC,37.0,45.0,89.1,105.5,106.4,LAC_2005,0.451
2005,LAL,34.0,48.0,90.8,108.1,111.4,LAL_2005,0.415
2005,MEM,45.0,37.0,88.5,105.5,102.9,MEM_2005,0.549
2005,MIA,59.0,23.0,90.8,110.2,103.1,MIA_2005,0.72
2005,MIL,30.0,52.0,90.8,106.6,109.8,MIL_2005,0.366
2005,MIN,44.0,38.0,89.1,108.2,106.6,MIN_2005,0.537
2005,NJN,42.0,40.0,89.1,101.4,103.1,NJN_2005,0.512
2005,NOH,18.0,64.0,87.6,99.7,107.7,NOH_2005,0.22
2005,NYK,33.0,49.0,90.7,106.2,108.9,NYK_2005,0.402
2005,ORL,36.0,46.0,94.7,104.9,107.3,ORL_2005,0.439
2005,PHI,43.0,39.0,94.9,103.5,104.3,PHI_2005,0.524
2005,PHO,62.0,20.0,95.9,114.5,107.1,PHO_2005,0.756
2005,POR,27.0,55.0,89.8,103.2,107.7,POR_2005,0.329
2005,SAC,50.0,32.0,93.0,110.5,108.2,SAC_2005,0.61
2005,SAS,59.0,23.0,88.9,107.5,98.8,SAS_2005,0.72
2005,SEA,52.0,30.0,87.9,112.2,109.6,SEA_2005,0.634
2005,TOR,33.0,49.0,92.7,106.9,108.7,TOR_2005,0.402
2005,UTA,26.0,56.0,88.4,104.7,109.5,UTA_2005,0.317
2005,WAS,45.0,37.0,93.3,107.2,107.5,WAS_2005,0.549
2006,ATL,26.0,56.0,90.4,106.4,111.6,ATL_2006,0.317
2006,BOS,33.0,49.0,92.2,105.2,106.9,BOS_2006,0.402
2006,CHA,26.0,56.0,93.4,102.5,106.7,CHA_2006,0.317
2006,CHI,41.0,41.0,92.9,104.0,103.4,CHI_2006,0.5
2006,CLE,50.0,32.0,89.8,107.8,105.4,CLE_2006,0.61
2006,DAL,60.0,22.0,87.8,111.8,105.0,DAL_2006,0.732
2006,DEN,44.0,38.0,93.9,105.5,105.2,DEN_2006,0.537
2006,DET,64.0,18.0,86.8,110.8,103.1,DET_2006,0.78
2006,GSW,34.0,48.0,93.3,104.8,106.2,GSW_2006,0.415
2006,HOU,34.0,48.0,88.0,101.6,103.3,HOU_2006,0.415
2006,IND,41.0,41.0,89.7,104.5,102.4,IND_2006,0.5
2006,LAC,47.0,35.0,91.7,105.3,103.6,LAC_2006,0.573
2006,LAL,45.0,37.0,90.9,108.4,105.7,LAL_2006,0.549
2006,MEM,49.0,33.0,86.3,105.9,101.6,MEM_2006,0.598
2006,MIA,52.0,30.0,91.6,108.7,104.5,MIA_2006,0.634
2006,MIL,40.0,42.0,91.2,106.3,107.4,MIL_2006,0.488
2006,MIN,33.0,49.0,88.8,102.4,104.5,MIN_2006,0.402
2006,NJN,49.0,33.0,89.8,103.9,102.4,NJN_2006,0.598
2006,NOK,38.0,44.0,89.0,103.7,106.8,NOK_2006,0.463
2006,NYK,23.0,59.0,90.8,104.0,111.0,NYK_2006,0.28
2006,ORL,36.0,46.0,88.3,106.3,107.5,ORL_2006,0.439
2006,PHI,38.0,44.0,92.7,106.0,108.1,PHI_2006,0.463
2006,PHO,54.0,28.0,95.8,111.5,105.8,PHO_2006,0.659
2006,POR,21.0,61.0,87.6,101.1,111.9,POR_2006,0.256
2006,SAC,44.0,38.0,91.9,106.7,105.0,SAC_2006,0.537
2006,SAS,63.0,19.0,88.5,107.3,99.6,SAS_2006,0.768
2006,SEA,35.0,47.0,91.6,111.1,114.4,SEA_2006,0.427
2006,TOR,27.0,55.0,91.1,109.5,112.7,TOR_2006,0.329
2006,UTA,41.0,41.0,87.8,104.1,107.0,UTA_2006,0.5
2006,WAS,42.0,40.0,92.3,109.3,107.3,WAS_2006,0.512
2007,ATL,30.0,52.0,90.0,103.0,108.3,ATL_2007,0.366
2007,BOS,24.0,58.0,92.0,103.2,106.9,BOS_2007,0.293
2007,CHA,33.0,49.0,92.0,103.6,107.6,CHA_2007,0.402
2007,CHI,49.0,33.0,93.6,104.9,99.6,CHI_2007,0.598
2007,CLE,50.0,32.0,90.8,105.5,101.3,CLE_2007,0.61
2007,DAL,67.0,15.0,89.5,111.3,103.2,DAL_2007,0.817
2007,DEN,45.0,37.0,97.4,107.6,105.9,DEN_2007,0.549
2007,DET,53.0,29.0,87.3,108.9,104.2,DET_2007,0.646
2007,GSW,42.0,40.0,99.2,107.0,107.4,GSW_2007,0.512
2007,HOU,52.0,30.0,90.7,106.0,100.7,HOU_2007,0.634
2007,IND,35.0,47.0,92.4,102.9,105.5,IND_2007,0.427
2007,LAC,40.0,42.0,90.8,105.1,105.6,LAC_2007,0.488
2007,LAL,42.0,40.0,93.5,108.6,108.6,LAL_2007,0.512
2007,MEM,22.0,60.0,93.6,106.9,112.3,MEM_2007,0.268
2007,MIA,44.0,38.0,89.9,104.3,105.3,MIA_2007,0.537
2007,MIL,28.0,54.0,92.3,107.0,111.7,MIL_2007,0.341
2007,MIN,32.0,50.0,91.0,103.9,107.9,MIN_2007,0.39
2007,NJN,41.0,41.0,91.4,105.7,106.6,NJN_2007,0.5
2007,NOK,39.0,43.0,90.2,104.8,106.5,NOK_2007,0.476
2007,NYK,33.0,49.0,90.8,105.7,108.8,NYK_2007,0.402
2007,ORL,40.0,42.0,89.9,104.9,104.1,ORL_2007,0.488
2007,PHI,35.0,47.0,90.7,103.6,106.9,PHI_2007,0.427
2007,PHO,61.0,21.0,95.6,113.9,106.4,PHO_2007,0.744
2007,POR,32.0,50.0,88.3,105.1,109.9,POR_2007,0.39
2007,SAC,33.0,49.0,94.8,106.2,108.0,SAC_2007,0.402
2007,SAS,58.0,24.0,89.8,109.2,99.9,SAS_2007,0.707
2007,SEA,31.0,51.0,91.8,107.2,110.3,SEA_2007,0.378
2007,TOR,47.0,35.0,92.6,107.0,106.0,TOR_2007,0.573
2007,UTA,51.0,31.0,91.6,110.1,107.0,UTA_2007,0.622
2007,WAS,41.0,41.0,94.1,110.1,110.6,WAS_2007,0.5
2008,ATL,37.0,45.0,91.1,106.9,108.9,ATL_2008,0.451
2008,BOS,66.0,16.0,90.9,110.2,98.9,BOS_2008,0.805
2008,CHA,32.0,50.0,91.8,104.6,109.4,CHA_2008,0.39
2008,CHI,33.0,49.0,93.0,103.9,107.2,CHI_2008,0.402
2008,CLE,45.0,37.0,90.2,106.0,106.4,CLE_2008,0.549
2008,DAL,51.0,31.0,90.2,111.1,106.1,DAL_2008,0.622
2008,DEN,50.0,32.0,99.7,110.0,106.3,DEN_2008,0.61
2008,DET,59.0,23.0,87.3,111.4,102.9,DET_2008,0.72
2008,GSW,48.0,34.0,98.8,111.8,109.5,GSW_2008,0.585
2008,HOU,55.0,27.0,90.4,106.8,101.6,HOU_2008,0.671
2008,IND,36.0,46.0,97.7,106.0,107.5,IND_2008,0.439
2008,LAC,23.0,59.0,92.1,101.2,109.1,LAC_2008,0.28
2008,LAL,57.0,25.0,95.6,113.0,105.5,LAL_2008,0.695
2008,MEM,22.0,60.0,95.3,105.0,111.4,MEM_2008,0.268
2008,MIA,15.0,67.0,90.2,100.5,110.0,MIA_2008,0.183
2008,MIL,26.0,56.0,91.3,105.3,112.8,MIL_2008,0.317
2008,MIN,22.0,60.0,91.9,103.8,111.2,MIN_2008,0.268
2008,NJN,34.0,48.0,91.5,104.0,109.4,NJN_2008,0.415
2008,NOH,56.0,26.0,89.9,111.5,105.7,NOH_2008,0.683
2008,NYK,23.0,59.0,91.6,104.7,111.9,NYK_2008,0.28
2008,ORL,52.0,30.0,93.4,111.3,105.5,ORL_2008,0.634
2008,PHI,40.0,42.0,90.4,106.4,106.0,PHI_2008,0.488
2008,PHO,55.0,27.0,96.7,113.3,108.1,PHO_2008,0.671
2008,POR,41.0,41.0,87.9,107.3,108.4,POR_2008,0.5
2008,SAC,38.0,44.0,94.7,107.5,109.9,SAC_2008,0.463
2008,SAS,56.0,26.0,88.8,107.2,101.8,SAS_2008,0.683
2008,SEA,20.0,62.0,96.3,100.5,109.5,SEA_2008,0.244
2008,TOR,41.0,41.0,90.2,110.2,107.0,TOR_2008,0.5
2008,UTA,54.0,28.0,93.2,113.8,106.5,UTA_2008,0.659
2008,WAS,43.0,39.0,89.5,109.2,109.6,WAS_2008,0.524
2009,ATL,47.0,35.0,89.6,109.3,107.6,ATL_2009,0.573
2009,BOS,62.0,20.0,90.4,110.5,102.3,BOS_2009,0.756
2009,CHA,35.0,47.0,88.3,104.7,106.1,CHA_2009,0.427
2009,CHI,41.0,41.0,93.1,108.4,108.7,CHI_2009,0.5
2009,CLE,66.0,16.0,88.7,112.4,102.4,CLE_2009,0.805
2009,DAL,50.0,32.0,91.5,110.5,108.4,DAL_2009,0.61
2009,DEN,54.0,28.0,94.3,110.4,106.8,DEN_2009,0.659
2009,DET,39.0,43.0,86.7,107.4,108.0,DET_2009,0.476
2009,GSW,29.0,53.0,98.2,109.5,113.3,GSW_2009,0.354
2009,HOU,53.0,29.0,90.2,108.4,104.0,HOU_2009,0.646
2009,IND,36.0,46.0,96.5,108.1,109.2,IND_2009,0.439
2009,LAC,19.0,63.0,92.1,102.3,111.7,LAC_2009,0.232
2009,LAL,65.0,17.0,94.3,112.8,104.7,LAL_2009,0.793
2009,MEM,24.0,58.0,90.1,103.5,109.5,MEM_2009,0.293
2009,MIA,43.0,39.0,89.9,107.8,107.6,MIA_2009,0.524
2009,MIL,34.0,48.0,92.6,106.7,107.9,MIL_2009,0.415
